"sar_id","reporting_institution_id","reporting_institution_name","reporting_institution_type","filing_date","activity_start_date","activity_end_date","subject_id","subject_name","subject_type","subject_national_id","subject_date_of_birth","subject_address_street","subject_address_city","subject_address_state","subject_address_postal_code","subject_address_country","transaction_id","transaction_date","transaction_amount","transaction_currency","transaction_type","money_laundering_indicators","suspicious_activity_description","investigation_status","investigation_outcome","reported_to_fiu","fiu_report_id","fiu_report_date","reporting_officer_id","reporting_officer_name","reporting_officer_contact"
"SAR20240001","BANK001","First National Bank","bank","2024-02-15","2024-01-10","2024-02-10","SUBJ1001","Johnathan Miller","individual","987654321","1985-06-21","102 Main St","New York","NY","10001","USA","TXN00001","2024-02-05","98500.5","USD","wire_transfer","rapid_movement, unusual_large_transfer","Large wire transfer initiated shortly after account opening, inconsistent with stated occupation and prior activity.","ongoing","further_monitoring","true","FIU20240001","2024-02-18","EMP0001","Sandra Lee","sandra.lee@fnb.com"
"SAR20240002","CRU002","Liberty Credit Union","credit_union","2024-03-14","2024-03-11","2024-03-12","SUBJ1002","Zofia Nowak","individual","PL987654321","1970-11-04","22 Mokotowska","Warsaw","34","00-560","POL","TXN00002","2024-03-12","3200","PLN","cash_deposit","frequent_small_payments, unexplained_transfer","Multiple cash deposits below reporting threshold in short period, pattern suggests structuring.","pending","other","false","","","EMP0002","Mateusz Zielinski","mateusz.z@libertycu.pl"
"SAR20240003","MSB003","QuickCash Remittance","money_service_business","2024-01-18","2024-01-12","2024-01-17","SUBJ1003","Global Trust Partners","trust","","","15 Bahnhofstrasse","Zurich","ZH","8001","CHE","TXN00003","2024-01-17","2100000","CHF","exchange","high_value, offshore_connection","Trust engaged in currency exchange of large sums with little business rationale, links to offshore entities identified.","referred","prosecution","true","FIU20240002","2024-01-21","EMP0003","Lukas Steiner","lukas.steiner@quickcash.ch"
"SAR20240004","INS004","Global Life Insurance","insurance_company","2024-03-22","","","SUBJ1004","Pacific Holdings LLC","company","USC987654","","400 Market St","San Francisco","CA","94111","USA","TXN00004","2024-03-21","450000","USD","payment","frequent_deposits, rapid_turnover","Company received multiple payments from unrelated sources within short timeframe, volume exceeds insurance norm.","ongoing","further_monitoring","false","","","EMP0004","Alice Kim","alice.kim@globallife.com"
"SAR20240005","BRK005","Axis Brokerage","brokerage","2024-02-05","2024-01-28","2024-02-03","SUBJ1005","Mercury LLP","partnership","","","130 King St W","Toronto","ON","M5X 1K6","CAN","TXN00005","2024-02-03","320000","CAD","exchange","layering, rapid_investment","Partnership exchanged substantial funds, source unclear, pattern consistent with layering.","referred","further_monitoring","true","FIU20240003","2024-02-07","EMP0005","Robert White","robert.white@axisbr.com"
"SAR20240006","BANK006","Metro Financial Bank","bank","2024-03-06","2024-02-24","2024-03-05","SUBJ1006","Emily Chen","individual","A123456789","1997-03-10","88 3rd Ave","Seattle","WA","98101","USA","TXN00006","2024-03-04","50500.75","USD","cash_deposit","new_account, unusual_large_transfer","Cash deposit made into newly opened account, amount inconsistent with profile, flagged by automated system.","ongoing","further_monitoring","true","FIU20240004","2024-03-08","EMP0006","Jason Smith","jason.smith@metrofb.com"
"SAR20240007","INS007","Sunrise Insurance","insurance_company","2024-01-29","2024-01-15","2024-01-28","SUBJ1007","Sunrise Trading Co.","company","HKC876543","","75 Queen's Road","Hong Kong","HK","999077","HKG","TXN00007","2024-01-27","8300","HKD","payment","frequent_deposits, unexplained_funds","Company received frequent insurance payments from diverse sources, flagged for unclear origin of funds.","closed","no_action","false","","","EMP0007","Stephanie Wong","stephanie.wong@sunrise.hk"
"SAR20240008","BANK008","Continental Bank","bank","2024-04-02","2024-03-11","2024-03-30","SUBJ1008","Vladimir Ivanov","individual","RU123456789","1962-12-15","45 Nevsky Prospekt","St. Petersburg","SPB","191025","RUS","TXN00008","2024-03-28","1500.25","RUB","withdrawal","low_value, frequent_small_payments","Subject performed multiple low-value withdrawals, flagged for possible smurfing activity.","closed","no_action","false","","","EMP0008","Elena Petrova","elena.petrova@conbank.ru"
"SAR20240009","BANK009","Atlantic Bank","bank","2024-02-26","2024-02-15","2024-02-20","SUBJ1009","Horizon Ventures","company","GBR987654","","120 Bishopsgate","London","LDN","EC2N 4AY","GBR","TXN00009","2024-02-20","5500","GBP","cash_deposit","frequent_deposits, rapid_turnover","Company made several cash deposits from unknown sources, inconsistent with business profile.","pending","other","true","FIU20240005","2024-02-28","EMP0009","Oliver Clark","oliver.clark@atlanticbank.co.uk"
"SAR20240010","MSB010","Eastern Exchange","money_service_business","2024-03-18","","","SUBJ1010","Sunrise Trust","trust","","","900 Sheikh Zayed Rd","Dubai","DU","00000","ARE","TXN00010","2024-03-16","7500000","AED","exchange","high_value, complex_transaction","Large currency exchange conducted by trust, links to offshore accounts, flagged by compliance.","ongoing","further_monitoring","true","FIU20240006","2024-03-20","EMP0010","Nadia Hassan","nadia.hassan@easternex.ae"
"SAR20240011","BANK011","Capital Trust Bank","bank","2024-04-07","2024-04-01","2024-04-05","SUBJ1011","Amitabh Singh","individual","IN987654321","1979-09-22","77 Connaught Place","Delhi","DL","110001","IND","TXN00011","2024-04-04","85000","INR","wire_transfer","unusual_large_transfer, rapid_movement","Wire transfer to foreign account flagged due to high value and lack of clear business justification.","ongoing","further_monitoring","true","FIU20240007","2024-04-09","EMP0011","Priya Kapoor","priya.kapoor@capitaltrust.in"
"SAR20240012","CRU012","Pioneer Credit Union","credit_union","2024-03-02","2024-02-24","2024-02-28","SUBJ1012","James Carter","individual","123456789","1952-03-01","201 Elm St","Denver","CO","80202","USA","TXN00012","2024-02-27","250","USD","payment","low_value, unexplained_transfer","Low-value payment made to third party, flagged for unusual frequency and lack of stated purpose.","closed","no_action","false","","","EMP0012","Linda Garcia","linda.garcia@pioneercredit.com"
"SAR20240013","BANK013","Union Pacific Bank","bank","2024-02-22","2024-02-17","2024-02-21","SUBJ1013","Dmitry Sokolov","individual","RU123457890","1959-02-04","20 Komsomolskaya","Moscow","MOW","101000","RUS","TXN00013","2024-02-20","1200","RUB","withdrawal","low_value, frequent_small_payments","Subject withdrew small amounts frequently over several days, flagged for suspicious structuring.","pending","other","false","","","EMP0013","Igor Lebedev","igor.lebedev@upbank.ru"
"SAR20240014","BANK014","EastWest Bank","bank","2024-04-10","2024-03-30","2024-04-08","SUBJ1014","Azure Investments","company","CHE998877","","23 Paradeplatz","Zurich","ZH","8002","CHE","TXN00014","2024-04-07","8000000","CHF","exchange","high_value, complex_transaction","Company conducted massive exchange transactions, flagged for lack of consistent business rationale.","referred","prosecution","true","FIU20240008","2024-04-12","EMP0014","Simon Keller","simon.keller@eastwest.ch"
